"Local", "undefined"
"Adamantina", 0.790
"Adolfo", 0.730
"Aguaí", 0.715
"Águas da Prata", 0.781
"Águas de Lindóia", 0.745
"Águas de Santa Bárbara", 0.757
"Águas de São Pedro", 0.854
"Agudos", 0.745
"Alambari", 0.712
"Alfredo Marcondes", 0.741
"Altair", 0.687
"Altinópolis", 0.730
"Alto Alegre", 0.700
"Alumínio", 0.766
"Álvares Florence", 0.728
"Álvares Machado", 0.758
"Álvaro de Carvalho", 0.688
"Alvinlândia", 0.722
"Americana", 0.811
"Américo Brasiliense", 0.751
"Américo de Campos", 0.745
"Amparo", 0.785
"Analândia", 0.754
"Andradina", 0.779
"Angatuba", 0.719
"Anhembi", 0.721
"Anhumas", 0.741
"Aparecida", 0.755
"Aparecida d'Oeste", 0.721
"Apiaí", 0.710
"Araçariguama", 0.704
"Araçatuba", 0.788
"Araçoiaba da Serra", 0.776
"Aramina", 0.740
"Arandu", 0.685
"Arapeí", 0.680
"Araraquara", 0.815
"Araras", 0.781
"Arco-Íris", 0.722
"Arealva", 0.744
"Areias", 0.697
"Areiópolis", 0.695
"Ariranha", 0.733
"Artur Nogueira", 0.749
"Arujá", 0.784
"Aspásia", 0.735
"Assis", 0.805
"Atibaia", 0.765
"Auriflama", 0.773
"Avaí", 0.714
"Avanhandava", 0.705
"Avaré", 0.767
"Bady Bassitt", 0.746
"Balbinos", 0.669
"Bálsamo", 0.756
"Bananal", 0.733
"Barão de Antonina", 0.711
"Barbosa", 0.699
"Bariri", 0.750
"Barra Bonita", 0.788
"Barra do Chapéu", 0.660
"Barra do Turvo", 0.641
"Barretos", 0.789
"Barrinha", 0.725
"Barueri", 0.786
"Bastos", 0.751
"Batatais", 0.761
"Bauru", 0.801
"Bebedouro", 0.780
"Bento de Abreu", 0.744
"Bernardino de Campos", 0.734
"Bertioga", 0.730
"Bilac", 0.768
"Birigui", 0.780
"Biritiba Mirim", 0.712
"Boa Esperança do Sul", 0.681
"Bocaina", 0.742
"Bofete", 0.705
"Boituva", 0.780
"Bom Jesus dos Perdões", 0.713
"Bom Sucesso de Itararé", 0.660
"Borá", 0.746
"Boracéia", 0.754
"Borborema", 0.730
"Borebi", 0.705
