"Local", "undefined"
"Adamantina", 33966.40
"Adolfo", 31581.42
"Aguaí", 28831.44
"Águas da Prata", 21079.28
"Águas de Lindóia", 28371.89
"Águas de Santa Bárbara", 28738.55
"Águas de São Pedro", 42313.69
"Agudos", 57688.59
"Alambari", 17492.68
"Alfredo Marcondes", 20888.48
"Altair", 21800.27
"Altinópolis", 33145.02
"Alto Alegre", 29647.48
"Alumínio", 123820.13
"Álvares Florence", 27518.31
"Álvares Machado", 21992.72
"Álvaro de Carvalho", 9689.60
"Alvinlândia", 15723.52
"Americana", 49505.78
"Américo Brasiliense", 23509.53
"Américo de Campos", 17115.98
"Amparo", 58712.71
"Analândia", 35559.57
"Andradina", 40384.07
"Angatuba", 42133.16
"Anhembi", 21986.71
"Anhumas", 18542.04
"Aparecida", 31625.70
"Aparecida d'Oeste", 29713.55
"Apiaí", 25262.33
"Araçariguama", 154326.02
"Araçatuba", 39997.60
"Araçoiaba da Serra", 24997.56
"Aramina", 26359.47
"Arandu", 21895.81
"Arapeí", 13743.40
"Araraquara", 42487.18
"Araras", 44223.05
"Arco-Íris", 24087.92
"Arealva", 25261.97
"Areias", 11903.32
"Areiópolis", 12749.90
"Ariranha", 90723.92
"Artur Nogueira", 23418.37
"Arujá", 72241.93
"Aspásia", 18268.75
"Assis", 33941.92
"Atibaia", 48543.14
"Auriflama", 20539.97
"Avaí", 54274.35
"Avanhandava", 30569.68
"Avaré", 30301.21
"Bady Bassitt", 22272.39
"Balbinos", 9537.59
"Bálsamo", 23878.40
"Bananal", 17080.13
"Barão de Antonina", 18176.94
"Barbosa", 15389.20
"Bariri", 34658.57
"Barra Bonita", 35626.27
"Barra do Chapéu", 20325.16
"Barra do Turvo", 12650.25
"Barretos", 39623.80
"Barrinha", 15308.63
"Barueri", 192371.97
"Bastos", 52199.48
"Batatais", 30496.22
"Bauru", 40696.41
"Bebedouro", 42736.68
"Bento de Abreu", 53003.59
"Bernardino de Campos", 26347.80
"Bertioga", 28940.51
"Bilac", 26160.87
"Birigui", 27985.11
"Biritiba Mirim", 23265.54
"Boa Esperança do Sul", 22217.82
"Bocaina", 18630.18
"Bofete", 15473.74
"Boituva", 46789.36
"Bom Jesus dos Perdões", 37576.17
"Bom Sucesso de Itararé", 15069.00
"Borá", 61859.57
"Boracéia", 82480.64
"Borborema", 25661.90
"Borebi", 22031.48
"Botucatu", 35083.56
"Bragança Paulista", 38502.59
"Braúna", 17193.06
"Brejo Alegre", 19780.70
"Brodowski", 28449.78
